id,name,zone,x,y,description,exits,enemy_id,shop_item_ids
-10_-50,被遺忘的戰場,wasteland,-10,-50,這裡寸草不生，只有死亡與危險。,,,
-9_-50,焦黑的土地,wasteland,-9,-50,這裡寸草不生，只有死亡與危險。,,,
-8_-50,被遺忘的戰場,wasteland,-8,-50,這裡寸草不生，只有死亡與危險。,,mob_troll,
-7_-50,焦黑的土地,wasteland,-7,-50,這裡寸草不生，只有死亡與危險。,,mob_troll,
-6_-50,龜裂的大地,wasteland,-6,-50,這裡寸草不生，只有死亡與危險。,,,
-5_-50,龜裂的大地,wasteland,-5,-50,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-4_-50,龜裂的大地,wasteland,-4,-50,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-50,焦黑的土地,wasteland,-3,-50,這裡寸草不生，只有死亡與危險。,,,
-2_-50,龜裂的大地,wasteland,-2,-50,這裡寸草不生，只有死亡與危險。,,,
-1_-50,被遺忘的戰場,wasteland,-1,-50,這裡寸草不生，只有死亡與危險。,,mob_troll,
0_-50,烈焰深淵 (Abyss of Fire),boss,0,-50,周圍是滾燙的岩漿，炎魔就在前方等待著挑戰者。,,boss_fire_demon,
1_-50,焦黑的土地,wasteland,1,-50,這裡寸草不生，只有死亡與危險。,,mob_orc,
2_-50,龜裂的大地,wasteland,2,-50,這裡寸草不生，只有死亡與危險。,,,
3_-50,被遺忘的戰場,wasteland,3,-50,這裡寸草不生，只有死亡與危險。,,mob_orc,
4_-50,白骨堆,wasteland,4,-50,這裡寸草不生，只有死亡與危險。,,mob_orc,
5_-50,被遺忘的戰場,wasteland,5,-50,這裡寸草不生，只有死亡與危險。,,,
6_-50,荒蕪之地,wasteland,6,-50,這裡寸草不生，只有死亡與危險。,,,
7_-50,焦黑的土地,wasteland,7,-50,這裡寸草不生，只有死亡與危險。,,,
8_-50,白骨堆,wasteland,8,-50,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
9_-50,龜裂的大地,wasteland,9,-50,這裡寸草不生，只有死亡與危險。,,mob_troll,
10_-50,被遺忘的戰場,wasteland,10,-50,這裡寸草不生，只有死亡與危險。,,,
-10_-49,被遺忘的戰場,wasteland,-10,-49,這裡寸草不生，只有死亡與危險。,,mob_troll,
-9_-49,荒蕪之地,wasteland,-9,-49,這裡寸草不生，只有死亡與危險。,,,
-8_-49,龜裂的大地,wasteland,-8,-49,這裡寸草不生，只有死亡與危險。,,,
-7_-49,荒蕪之地,wasteland,-7,-49,這裡寸草不生，只有死亡與危險。,,,
-6_-49,焦黑的土地,wasteland,-6,-49,這裡寸草不生，只有死亡與危險。,,mob_troll,
-5_-49,焦黑的土地,wasteland,-5,-49,這裡寸草不生，只有死亡與危險。,,,
-4_-49,龜裂的大地,wasteland,-4,-49,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-49,被遺忘的戰場,wasteland,-3,-49,這裡寸草不生，只有死亡與危險。,,mob_orc,
-2_-49,荒蕪之地,wasteland,-2,-49,這裡寸草不生，只有死亡與危險。,,,
-1_-49,龜裂的大地,wasteland,-1,-49,這裡寸草不生，只有死亡與危險。,,,
0_-49,被遺忘的戰場,wasteland,0,-49,這裡寸草不生，只有死亡與危險。,,,
1_-49,荒蕪之地,wasteland,1,-49,這裡寸草不生，只有死亡與危險。,,mob_troll,
2_-49,龜裂的大地,wasteland,2,-49,這裡寸草不生，只有死亡與危險。,,,
3_-49,焦黑的土地,wasteland,3,-49,這裡寸草不生，只有死亡與危險。,,,
4_-49,被遺忘的戰場,wasteland,4,-49,這裡寸草不生，只有死亡與危險。,,,
5_-49,荒蕪之地,wasteland,5,-49,這裡寸草不生，只有死亡與危險。,,mob_orc,
6_-49,焦黑的土地,wasteland,6,-49,這裡寸草不生，只有死亡與危險。,,,
7_-49,被遺忘的戰場,wasteland,7,-49,這裡寸草不生，只有死亡與危險。,,,
8_-49,荒蕪之地,wasteland,8,-49,這裡寸草不生，只有死亡與危險。,,,
9_-49,龜裂的大地,wasteland,9,-49,這裡寸草不生，只有死亡與危險。,,mob_troll,
10_-49,焦黑的土地,wasteland,10,-49,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-10_-48,焦黑的土地,wasteland,-10,-48,這裡寸草不生，只有死亡與危險。,,mob_troll,
-9_-48,焦黑的土地,wasteland,-9,-48,這裡寸草不生，只有死亡與危險。,,,
-8_-48,荒蕪之地,wasteland,-8,-48,這裡寸草不生，只有死亡與危險。,,,
-7_-48,龜裂的大地,wasteland,-7,-48,這裡寸草不生，只有死亡與危險。,,,
-6_-48,焦黑的土地,wasteland,-6,-48,這裡寸草不生，只有死亡與危險。,,mob_troll,
-5_-48,龜裂的大地,wasteland,-5,-48,這裡寸草不生，只有死亡與危險。,,,
-4_-48,焦黑的土地,wasteland,-4,-48,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-48,龜裂的大地,wasteland,-3,-48,這裡寸草不生，只有死亡與危險。,,,
-2_-48,白骨堆,wasteland,-2,-48,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-1_-48,龜裂的大地,wasteland,-1,-48,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
0_-48,荒蕪之地,wasteland,0,-48,這裡寸草不生，只有死亡與危險。,,,
1_-48,被遺忘的戰場,wasteland,1,-48,這裡寸草不生，只有死亡與危險。,,mob_orc,
2_-48,龜裂的大地,wasteland,2,-48,這裡寸草不生，只有死亡與危險。,,,
3_-48,被遺忘的戰場,wasteland,3,-48,這裡寸草不生，只有死亡與危險。,,mob_troll,
4_-48,白骨堆,wasteland,4,-48,這裡寸草不生，只有死亡與危險。,,,
5_-48,被遺忘的戰場,wasteland,5,-48,這裡寸草不生，只有死亡與危險。,,mob_troll,
6_-48,荒蕪之地,wasteland,6,-48,這裡寸草不生，只有死亡與危險。,,,
7_-48,焦黑的土地,wasteland,7,-48,這裡寸草不生，只有死亡與危險。,,,
8_-48,白骨堆,wasteland,8,-48,這裡寸草不生，只有死亡與危險。,,,
9_-48,荒蕪之地,wasteland,9,-48,這裡寸草不生，只有死亡與危險。,,,
10_-48,焦黑的土地,wasteland,10,-48,這裡寸草不生，只有死亡與危險。,,,
-10_-47,荒蕪之地,wasteland,-10,-47,這裡寸草不生，只有死亡與危險。,,,
-9_-47,龜裂的大地,wasteland,-9,-47,這裡寸草不生，只有死亡與危險。,,,
-8_-47,焦黑的土地,wasteland,-8,-47,這裡寸草不生，只有死亡與危險。,,,
